"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"BLU","BLUE ENERGY LIMITED.","1994-10-13","Energy",105495345
"BLX","BEACON LIGHTING GROUP LIMITED","2014-04-15","Retailing",464508524
"BLY","BOART LONGYEAR GROUP LTD","2007-04-05","Materials",520819929
"BLZ","BLAZE MINERALS LIMITED","1996-09-12","Energy",4042591
"BM8","PATHFINDER RESOURCES LTD","2020-11-04","Materials","N/A"
"BME","BLACK MOUNTAIN ENERGY LTD","2021-12-23","Energy",9945000
"BMG","BMG RESOURCES LIMITED","2004-05-12","Materials",6561858
"BMH","BAUMART HOLDINGS LIMITED","2015-06-19","Capital Goods",17369371
"BML","BOAB METALS LIMITED","2004-07-15","Materials",48636776
"BMM","BALKAN MINING AND MINERALS LIMITED","2021-07-14","Materials",19145657
"BMN","BANNERMAN ENERGY LTD","2005-04-28","Energy",252770776
"BMO","BASTION MINERALS LIMITED","2021-03-16","Materials",3871424
"BMR","BALLYMORE RESOURCES LIMITED","2021-09-03","Materials",24122549
"BMT","BEAMTREE HOLDINGS LIMITED","2019-06-06","Health Care Equipment & Services",86881422
"BNL","BLUE STAR HELIUM LIMITED","1994-11-24","Energy",50757442
"BNO","BIONOMICS LIMITED","1999-12-21","Pharmaceuticals, Biotechnology & Life Sciences",54343211
"BNR","BULLETIN RESOURCES LIMITED","2010-12-20","Materials",26040608
